word,meaning
cozy,居心地のよい
brutal,残酷な、残忍な
inventive,創意に富む
sober,酔っていない、しらふの
privilege,特権、特典
trespass,不法侵入する
procession,行列
vain,うぬぼれた、自信過剰な
confer,～を与える、授与する
deceive,〈人〉をだます、欺く
allegation,〈根拠のない〉申し立て
affiliate,～を提携させる
prolong,～を引き延ばす、長引かせる
overhaul,分解修理、オーバーホール
deduct,～を差し引く、控除する
feasible,〈計画・方法などが〉実現可能な
mercy,慈悲、情け
oppress,〈人・集団〉を虐げる、圧迫する
entrust,～に委ねる、任せる
sturdy,頑丈な、丈夫な
cynical,懐疑的な
conspire,共謀する、企む
exert,〈自分〉を奮闘させる 〈力など〉を使う、行使する
grumble,不平を言う、ぶつぶつ言う
prosecute,～を起訴する
delegate,～を任せる、委託する
tremble,〈人・声などが〉震える
earnest,熱心な、真剣な
generate,～を生み出す、発生させる
threaten,～を脅す、脅迫する ～の脅威になる
boost,励まし、元気づけ 上昇、増加
donate,～を寄付する 〈臓器など〉を提供する
evolve,進化する
interact,交流する 相互に作用する
predator,捕食動物、捕食者
capacity,能力 収容能力、容量
mainstream,主流の、普通の
accommodate,～を収容できる ～に配慮する、～のために便宜を図る
expertise,専門知識
graze,草をはむ
erupt,〈感情を〉爆発させる 噴火する 〈暴動などが〉勃発する
withstand,～に耐える、持ちこたえる
fascination,魅了されること
classify,～を分類する
alternate,揺れ動く、交替で行われる
fundamental,基本的な、根本的な
venue,開催地、会場
optional,任意の、選択が自由の
validity,妥当性、正当性 〈法的な〉効力、有効性
leak,〈情報〉を漏えいする 〈液体・容器が〉漏れる
considerate,思いやりのある
outweigh,～より重要である、～に勝る
wholesale,卸しの、卸売りの 大規模な、大量の
withdraw,引き下がる；〈競技などへの〉出場を取り消す 〈預金〉を引き出す 〈前言〉を撤回する
dock,埠頭、波止場
deceased,死去した
recruitment,〈社員などの〉新規採用；人員補充
adaptation,改作、脚色〈作品〉
prime,最高の、最上の 主要な
faculty,〈大学の〉学部；教職員
objective,目的、目標
artifact,人工遺物 工芸品
verbal,口頭の
endeavor,懸命に努力する
devoted,献身的な、熱心な
diploma,卒業証書、学位
dictate,～を命令する、指図する ～を書き取らせる
compensate,～に補償する、埋め合わせをする
urgency,緊急、切迫
sneak,こっそり歩く ～をこっそり持ち出す、持ち込む
heap,〈雑然と積み上げた〉山、堆積
ethical,倫理的な、道徳的な
consensus,〈意見などの〉一致、合意
sentimental,感情的な、感傷的な
apparent,明白な、明瞭な
subsidize,～に補助金［助成金］を与える
captive,捕らえられた
applaud,～を称賛する 拍手する
forthcoming,率直な、協力的な 来たるべき、今度の
trigger,～の引き金になる、～を誘発する
deficit,不足〈額〉、赤字
stain,しみ、汚れ
oversight,ミス、見落とし 監視、監督
defendant,被告
fragment,破片、断片
disastrous,破滅を招く、悲惨な
invoice,送り状、請求明細書
elevate,～を上げる、持ち上げる
irrigate,〈作物〉に水をやる；〈土地〉を灌漑する
nuisance,迷惑な人［もの］、厄介なこと
dejected,意気消沈した、落胆した
consecutive,連続した
wretched,悲惨な、みじめな
distort,～をゆがめる
verify,～を確認する、証明する
punctuality,時間厳守
courtesy,礼儀正しさ、丁重さ 厚意
foe,敵、〈競技などの〉相手
crooked,曲がっている
famine,飢饉
waver,動揺する、迷う
indebted,恩義がある、借りがある
indifferent,無関心な 重要でない
gracious,親切な、腰の低い
unwarranted,根拠のない、不当な
refrain,控える
foresight,先見（の明）
consolidate,～を強固にする 〈複数の会社・組織など〉を統合する
botanical,植物の、植物性の
axis,軸
inscription,碑文、銘
minute,微小な、微細な
archive,文書保管所
ascent,登ること、上昇
abruptly,突然、不意に
proficient,熟達した、技量のある
dispense,～を調剤する、調合する ～を分配する
eloquent,雄弁な、聴衆の心に訴える
vandalize,〈芸術作品など〉を〈故意に〉破壊する
mediocre,よくも悪くもない、平凡な
outgoing,社交的な、外交的な 〈間もなく〉退職する、引退する
plunge,突っ込む、飛び込む 〈価値などが〉急落する
stern,厳格な、厳しい
insistent,しつこい、執拗な
frailty,弱さ、虚弱
outsmart,〈知恵・策略を使って〉～の裏をかく
casualty,被害者、犠牲者 〈事故・戦闘などの〉死傷者
narrative,物語、語り口
bewilder,～を困惑させる、当惑させる
void,〈契約などが〉無効の からの、空虚な
hinder,〈発展・動きなど〉を妨げる、妨害する
perpetual,ひっきりなしの、絶え間ない 永続的な、不変の
phobia,病的恐怖
sibling,兄弟姉妹（の1人）
orphan,〈子ども〉を孤児にする
elaborate,凝った、入念な 込み入った
autograph,〈著名人の〉サイン
envelop,～を包む、覆う
prevail,〈戦い・論争で〉勝つ 広く行きわたっている
gratuity,心づけ、チップ
startle,～をびっくりさせる
outcast,〈社会から〉追放された人、のけ者
stagger,よろめく、ふらつく
resolute,意志の固い、固く決心している
dread,～を恐れる、ひどく怖がる
