word,meaning
parody,（名）パロディー
prologue,（名）プロローグ、序文
paradox,（名）逆説、パラドックス
paradoxical,（形）逆説的な
metaphor,（名）隠喩、メタファー
undergraduate,（名）大学生、学部学生
doctorate,（名）博士号
dormitory,（名）（大学などの）寮、寄宿舎
nursery,（名）保育所
curriculum,（名）カリキュラム、教育課程
bilingual,（形）２か国語を話す（人）
sentence,（名）文
phrase,（名）句
pronunciation,（名）発音
pronounce,（動）～を発音する
adjective,（名）形容詞
martial arts,（名）武道、武術
referee,（名）レフェリー、審判員
gymnastics,（名）体操
stamina,（名）スタミナ、持久力
