word,meaning
Uranus,（名）天王星
Neptune,（名）海王星
Pluto,（名）冥王星
aerospace,（名）航空宇宙
spacecraft,（名）宇宙船
astronaut,（名）宇宙飛行士
atmosphere,（名）大気（圏）
orbit,（名）軌道
asteroid,（名）小惑星
comet,（名）彗星
meteorite,（名）隕石
solstice,（名）至；至点
ion,（名）イオン
liquid,（名）液体、流動体
metallurgy,（名）冶金（術）
element,（名）元素
molecule,（名）分子
hydrogen,（名）水素
oxygen,（名）酸素
nitrogen,（名）窒素
carbon,（名）炭素
arsenic,（名）ヒ素
bronze,（名）青銅、ブロンズ
copper,（名）銅
phosphorus,（名）リン
sulfur,（名）硫黄
acid,（名・形）酸；酸性の
fluoride,（名）フッ化物
petroleum,（名）石油、鉱油
resin,（名）樹脂
sulfuric acid,（名）硫酸
zinc,（名）亜鉛
antioxidant,（名）酸化防止剤
rectangle,（名）長方形
rectangular,（形）長方形の
square,（名・形）正方形（の）
cone,（名）円すい
radius,（名）半径
diameter,（名）直径
equation,（名）等式、方程式
infinity,（名）無限大
infinite,（形）無限の
cyberspace,（名）サイバースペース
decode,（動）〈暗号文など〉を解読する
thermostat,（名）自動温度調節装置、サーモスタット
laptop,（名）ラップトップ、ノートパソコン
sonar,（名）音波探知機
electrode,（名）電極
canal,（名）運河
sewer,（名）下水道
fountain,（名）噴水
clog,（動）〈管など〉を詰まらせる
plumbing,（名）(建物の) 配管設備
janitor,（名）(大きな建物の) 管理人
highway,（名）幹線道路
bypass,（名）バイパス
intersection,（名）交差点
aircraft,（名）航空機
aviation,（名）航空
license,（名）免許証
locomotive,（名）機関車
mileage,（名）(走行 [飛行] の) 総マイル数；走行距離
navigate,（動）航行する；〈飛行機・船舶など〉を操縦する
runway,（名）滑走路
shuttle,（名）定期往復バス [列車、飛行機]
timetable,（名）(乗り物の) 時刻表
toll-free,（形）(通行料・通話料が) 無料の
surcharge,（名）追加料金
federation,（名）連邦；連邦国家
federal,（形）連邦の
Congress,（名）(米国・中南米諸国の) 議会、国会
Senate,（名）[the Senate] 上院
majority,（名）過半数
embassy,（名）大使館
ambassador,（名）大使
diplomat,（名）外交官
commander,（名）司令官
bomber,（名）爆撃機
weaponry,（名）武器類 (≒ weapons)
arsenal,（名）兵器庫
pact,（名）条約、協定
territory,（名）領土、領地
territorial,（形）領土の
refugee,（名）難民
monetary,（形）通貨の、貨幣の
devalue,（動）〈通貨〉を切り下げる
minting,（名）(貨幣の) 鋳造
inflation,（名）インフレ、通貨膨張
gross domestic product,（名）国内総生産
rating,（名）評価、格付け
courthouse,（名）裁判所
innocence,（名）無罪、潔白 (⇔ guilt)
innocent,（形）無罪の
imprisonment,（名）投獄、収監
imprison,（動）～を投獄する
probation,（名）執行猶予、保護観察
informant,（名）情報提供者；内通者
robbery,（名）強盗（罪）
trafficking,（名）不正取引、密売
gangster,（名）ギャングの一員、暴力団員
smuggler,（名）密輸業者
smuggle,（動）〈もの・動物〉を密輸入［輸出］する
poverty,（名）貧困
brainwashing,（名）洗脳
manufacturer,（名）製造業者、メーカー
manufacture,（動）～を製造する
retailer,（名）小売業者
auction,（名）競売、オークション
output,（名）生産高、産出量
prototype,（名）（機械などの）原型、プロトタイプ
monopoly,（名）（事業などの）独占（権）、専売
monopolize,（動）～を独占する
questionnaire,（名）アンケート
respondent,（名）回答者
conference,（名）（公式の）会議
pavilion,（名）（博覧会などの）パビリオン
CEO,（名）最高経営責任者
auditor,（名）監査役
workshop,（名）研修会、セミナー
internship,（名）インターンの身分 [期間]
bulletin board,（名）掲示板
adhesive,（名）接着剤
paycheck,（名）給与
pension,（名）年金
recreation,（名）レクリエーション、娯楽
union,（名）組合、労働組合
unemployment,（名）失業
dinosaur,（名）恐竜
evolution,（名）進化
archaeologist,（名）考古学者
excavation,（名）発掘
excavate,（動）～を発掘する
ancient,（形）古代の
remains,（名）遺跡、遺構
shipwreck,（名）難破船
mummy,（名）ミイラ
millennium,（名）千年（紀）
monarch,（名）君主
ancestor,（名）祖先、先祖
throne,（名）王位、王権
aristocrat,（名）貴族
tyrant,（名）暴君、専制君主
warrior,（名）戦士、軍人
peasant,（名）小作農
piracy,（名）海賊行為
settler,（名）入植者、移民
slaughter,（名）大量虐殺 (≒massacre)
dagger,（名）短剣
cemetery,（名）(共同) 墓地
graveyard,（名）(教会の) 墓地
tomb,（名）墓；墓石
catacomb,（名）地下埋葬場
coffin,（名）ひつぎ
monument,（名）記念碑、記念建造物
monumental,（形）記念碑の；歴史的な
worship,（名）礼拝、祈り
morality,（名）道徳（性）
moral,（形）道徳の
sermon,（名）(教会で行われる) 説教
sin,（名）(宗教上の) 罪、罪悪
sinful,（形）罪深い
archbishop,（名）大司教
bishop,（名）司教
priest,（名）(カトリック・英国国教会などの) 司祭
chapel,（名）礼拝堂
choir,（名）聖歌隊
missionary,（名）伝道者、布教者
pilgrim,（名）巡礼者、聖地参拝者
pilgrimage,（名）巡礼
publication,（名）出版
publish,（動）～を出版する
myth,（名）神話
mythical,（形）神話の
proverb,（名）ことわざ、格言
stopover,（名）短期滞在（地）
safari,（名）サファリ
atlas,（名）地図帳
aroma,（名）芳香、アロマ
artistry,（名）芸術的才能
auditorium,（名）観客席
scenery,（名）風景、景色
panorama,（名）全景、パノラマ
pillar,（名）柱、支柱
carving,（名）彫刻（作品）
plaster,（名）石こう
collage,（名）コラージュ
masterpiece,（名）傑作、名作
patron,（名）後援者、パトロン
patronage,（名）後援
graffiti,（名）落書き
recital,（名）リサイタル、独奏［独唱］会
finale,（名）終楽章、フィナーレ
rehearsal,（名）リハーサル、下稽古
rehearse,（動）～のリハーサルをする
debut,（名・動）デビュー、初舞台；デビューする
vandalism,（名）（芸術品などの）破壊、損傷
vandalize,（動）～を破壊する
pageant,（名）（歴史的事件を扱った）野外劇、ページェント
fiction,（名）フィクション
fictitious,（形）架空の、フィクションの
