word,meaning
species,（名）（分類上の）種
mammal,（名）ほ乳動物、ほ乳類
primate,（名）霊長類
reptile,（名）は虫類
vertebrate,（名）脊椎動物
reproduction,（名）生殖、繁殖
mating,（名）交尾、交配
hibernation,（名）冬眠
carnivore,（名）肉食動物
herbivore,（名）草食動物
ape,（名）（尾のない、または尾の短い）サル；類人猿
rhinoceros,（名）サイ
camel,（名）ラクダ
donkey,（名）ロバ
mule,（名）ラバ
ram,（名）（去勢していない）雄羊
elk,（名）ヘラジカ
reindeer,（名）トナカイ
canine,（形）イヌ科の；犬の
bark,（動）（犬・キツネなどが）ほえる
hare,（名）野ウサギ
lynx,（名）オオヤマネコ
lizard,（名）トカゲ
crocodile,（名）ワニ
hump,（名）（ラクダなどの）こぶ
burrow,（名）（ウサギ・モグラなどの）巣穴
owl,（名）フクロウ
vulture,（名）ハゲタカ ; コンドル
parrot,（名）オウム
sparrow,（名）スズメ
gull,（名）カモメ
mosquito,（名）蚊
termite,（名）シロアリ
moth,（名）ガ
caterpillar,（名）いも虫、毛虫
earthworm,（名）ミミズ
salmon,（名）サケ
tuna,（名）マグロ
squid,（名）イカ
eel,（名）ウナギ
turtle,（名）カメ ; (特に) ウミガメ
oyster,（名）カキ
blossom,（名）（木・庭木などの）花
pollen,（名）花粉
thorn,（名）（植物の）とげ、針
pine,（名）マツ
maple,（名）カエデ、モミジ
hemp,（名）麻、大麻
holly,（名）セイヨウヒイラギ
walnut,（名）クルミ
cactus,（名）サボテン
fungus,（名）（かび・キノコ・酵母菌などの）菌類
moss,（名）コケ
mold,（名）かび
algae,（名）藻、藻類
organism,（名）生物；有機体
organ,（名）器官；臓器
abnormality,（名）異常（性）
stroke,（名）脳卒中、発作
cancer,（名）がん
leprosy,（名）ハンセン病
measles,（名）はしか、麻疹
scurvy,（名）壊血病
diabetes,（名）糖尿病
appetite,（名）食欲
obesity,（名）肥満
malnutrition,（名）栄養失調［不良］
indigestion,（名）消化不良；不消化
metabolism,（名）（新陳）代謝
diarrhea,（名）下痢
anorexia,（名）拒食症
protein,（名）タンパク質
inflammation,（名）炎症
injury,（名）けが、負傷
arthritis,（名）関節炎
blister,（名）水ぶくれ、火ぶくれ
impairment,（名）障害、損傷
fever,（名）熱、発熱
pulse,（名）脈拍、鼓動
sneeze,（名・動）くしゃみ（をする）
ward,（名）病棟、病室
surgery,（名）外科、外科手術
endocrine,（形）内分泌の
coma,（名）昏睡（状態）
eyesight,（名）視力、視覚
circadian rhythm,（名）概日リズム、体内時計
diagnosis,（名）診断、診察；診断書
prescription,（名）処方（箋）
pharmacy,（名）調剤学、薬学、製薬；薬局
vaccine,（名）ワクチン
antibiotic,（名）抗生物質
hypodermic,（形）皮下（注射）の
painkiller,（名）鎮痛剤
first aid,（名）応急手当
pregnancy,（名）妊娠
infertility,（名）不妊症
childbirth,（名）出産、分娩
sperm,（名）精子
gene,（名）遺伝子
amputee,（名）切断手術を受けた患者
immunity,（名）免疫（性）
infection,（名）感染、伝染；感染症
parasite,（名）寄生動物［植物］、寄生虫
germ,（名）病原菌、細菌
microbe,（名）微生物、細菌；病原菌
virus,（名）ウイルス
bacterium,（名）バクテリア
skull,（名）頭蓋骨
spine,（名）脊柱、背骨
rib,（名）あばら骨
nostril,（名）鼻の穴、鼻孔
jaw,（名）あご
thigh,（名）太もも、大腿部
wrist,（名）手首
ankle,（名）足首；くるぶし
intestine,（名）腸
kidney,（名）腎臓
liver,（名）肝臓
spleen,（名）脾臓
vein,（名）静脈；(一般に) 血管
artery,（名）動脈
cell,（名）細胞
nerve,（名）神経
neuron,（名）ニューロン
fiber,（名）繊維（の１本）
reflex,（名）反射（運動）
insomnia,（名）不眠症
anxiety,（名）心配、不安
depression,（名）憂うつ、うつ病
manic,（形）躁状態の
addiction,（名）（薬物などの）常用、中毒、依存症
trance,（名）催眠状態
ecosystem,（名）生態系
deforestation,（名）森林伐採
logging,（名）伐採
reforestation,（名）植林、森林再生
pasture,（名）牧草地、放牧場
greenhouse effect,（名）温室効果
tropical rain forest,（名）熱帯雨林
fossil fuel,（名）化石燃料
carbon dioxide,（名）二酸化炭素
carbon offset,（名）カーボンオフセット
renewable energy,（名）再生可能エネルギー
radiation,（名）放射能
hydropower,（名）水力発電
solar power,（名）太陽光発電
biodiesel,（名）バイオディーゼル
acid rain,（名）酸性雨
Antarctica,（名）南極大陸
biodiversity,（名）生物多様性
coral reef,（名）サンゴ礁
overfishing,（名）（魚の）乱獲
poacher,（名）密漁 [密猟] 者
conservationist,（名）自然 [環境] 保護論者
pollute,（動）～を汚染する
pollutant,（名）汚染物質、汚染源
dumping,（名）投げ捨て；投棄
landfill,（名）埋め立て（地）
soil,（名）土壌
organic,（形）有機栽培の
compost,（名）たい肥
fertilizer,（名）肥料
pesticide,（名）殺虫剤
harvest,（名）収穫
cereal,（名）穀物
wheat,（名）小麦
soybean,（名）大豆
mineral,（名）鉱物、鉱石
limestone,（名）石灰岩
quartz,（名）石英
crystal,（名）水晶
continent,（名）大陸
equator,（名）赤道
tropic,（名）熱帯地方；回帰線
volcano,（名）火山
ash,（名）灰、火山灰
wetland,（名）湿地
seabed,（名）海底
inland,（形）内地の
bay,（名）湾、入り江
ground water,（名）地下水
gravity,（名）重力、引力
subzero,（形）氷点下の
rainfall,（名）降雨（量）
drizzle,（名）霧雨（が降る）
frost,（名）霜（が降りる）
breeze,（名）微風
gale,（名）強風
tornado,（名）竜巻
flood,（名）洪水
wildfire,（名）野火；山火事
astronomer,（名）天文学者
astronomy,（名）天文学
galaxy,（名）銀河、星雲
Mercury,（名）水星
Venus,（名）金星
Mars,（名）火星
Jupiter,（名）木星
Saturn,（名）土星
