word,meaning
superstition,迷信
entrepreneur,起業家
rational,合理的な、筋の通った 理性的な、分別のある
disposable,使い捨ての
intelligible,（文章などが）はっきりしている、わかりやすい
applicable,当てはまる、適用できる
uproar,大騒ぎ、騒動
humanitarian,（形・名）人道的な、博愛主義の；人道主義者
upside,（悪い状況での）よい面
intricate,複雑な、形などが入り組んだ
endure,～に耐える
mobilize,（軍隊など）を動員する
compatible,（人と）仲のよい、気が合う （ソフトなどが）互換性がある
flattery,お世辞、おべっか
concession,譲歩
glare,まぶしい光
abstain,慎む、控える
scanty,その分量が非常に不十分な、不足した
condensation,（雲の）水滴、結露
haven,避難所、安全な場所
assorted,詰め合わせた、雑多な
preclude,～を妨げる
tolerable,耐えられる、我慢できる
yardstick,（判断・比較などの）基準、尺度
mischievous,（子どもが）いたずら好きな
bid,（名・動）試み、企て；（競売・入札で）もの・工事などに値をつける
cease,（～するの）を終える、やめる 終わる
persistent,しつこい、粘り強い
resignation,辞任、辞職
hypocritical,偽善的な
deserted,人通りのない、ひっそりした
savage,凶暴な、残忍な
confront,（困難など）に直面する
shriek,（名・動）金切り声、悲鳴；金切り声を上げる
patriot,愛国者
reckless,むこうみずな、無謀な
stingy,けちな、しみったれた
lament,～を嘆く
ranger,森林警備員
arouse,（注意・感情など）を喚起する
foil,（計略など）を妨げる、失敗させる
contaminate,～を汚染する
implication,（予想される）影響、結果 含み、暗示
stoically,平然と、冷静に
conditional,条件つきの
archaic,（言葉が）古風な、古語の 時代遅れの、旧式の
ascertain,～を確かめる、確認する
observant,観察力の鋭い、注意深い
rhetoric,美辞麗句、誇張
cramp,（激しい）腹痛 ひきつり、けいれん
audible,聞こえる、聞き取れる
resurgence,再起、再燃、復活
standstill,停止、休止
immortality,不死、不滅の命
potent,（薬などが）強い効果を持つ 説得力のある、強力な
inevitably,必然的に、必ず
curfew,（子どもの）門限 （夜間）外出禁止令
nominate,～を指名する、推薦する
depiction,描写、叙述
deliberately,わざと、故意に
remnant,名残、面影
precaution,用心、予防措置
catastrophe,破局、大失敗
intimidate,（人）を脅す、おどす
sluggish,（経済などが）停滞した
mediator,仲介者、調停者
moderation,適度、節度
shrewd,頭の切れる、やり手の
loophole,（法律・契約などの）抜け穴
poach,密猟する、密漁する
insoluble,（問題などが）解決できない 溶けない
anecdote,逸話、秘話
yearn,～を切望する、恋しく思う
diligent,（人・態度など）が、勤勉な、熱心な
industrialize,（国・地域など）を工業化する、工業化する
generalization,一般論 一般化、概括
idle,人・機械などが仕事をしていない、動いていない
forge,（関係など）を築く （文書など）を捏造する
intermittently,断続的に、途切れ途切れに
constitute,～と見なされる、～に等しい
inhospitable,（場所が）住むのに適さない、荒れ果てた もてなしの悪い
lure,～を誘い出す、誘い込む
traumatic,心的外傷を残す
discredit,（動・名）～の信用を傷つける；信用の失墜
ambiguous,あいまいな
autonomy,自主性、自由 自治（権）
autobiography,自叙伝、自伝
contradictory,（話・考えなどが）矛盾している
roster,名簿、勤務リスト
nauseous,吐き気を催した
coherent,首尾一貫した
quest,探求
acute,（痛みなどが）鋭く、激しい （病気が）急性の （状況が）深刻な
exaggeration,誇張、誇張した表現
ridicule,（動・名）～を嘲笑する、あざける；嘲笑、あざけり
bashful,内気な、恥ずかしがり屋の
familiarize,（人）を慣れさせる
prone,（好ましくない）傾向がある、～しがちな
estimation,評価、意見、判断
avail,利益、効果
compel,～を強制する、強いる
indicative,示して、暗示して
receptive,理解がある、ものわかりのよい
immerse,～を没頭させる、熱中させる ～をひたす
batch,1回に生産［処理］される量
verge,間際、瀬戸際 縁、境界
appreciative,（人が）感謝して 鑑賞力のある
conceal,～を隠す、隠ぺいする
endorse,（意見・提案など）を承認する、支持する （商品など）を推奨する
tragic,悲劇的な、悲惨な
harass,～を悩ませる、苦しめる
tender,（肉・野菜などが）柔らかい （人・心などが）優しい 幼い、若い
feeble,弱った、衰弱した
foster,（才能など）を育む、促進する （他人の子ども）を養育する
magnify,（レンズなど）～を拡大する
testimony,証言 証拠
soak,～を浸す
grant,（動・名）許可などを与える、認める；助成金、補助金
boundary,境界（線）
scatter,～をまき散らす ～を散り散りにさせる
overload,～に荷を積みすぎる、過重な負担をかける
confine,～を限定する、限る
litter,（動・名）～（場所）を散らかす；散らかったもの、ごみ
dispatch,（部隊・使者など）を派遣する （手紙・小包など）を発送する
arrogant,横柄な、尊大な
awkward,（人・動作などが）不器用な、ぎこちない （雰囲気などが）気まずい
tame,（形・動）（動物が）飼い慣らされた；（動物）を飼い慣らす
penetrate,貫通する、侵入する ～を貫く
suppress,～を制圧する、鎮圧する （事実など）を隠す、もみ消す （感情など）を押し殺す
rigid,（考えなど）固い、硬直した （規則などが）厳しい、厳密な
disgrace,（動・名）～の面目を失わせる；不名誉
restrain,（人など）を抑圧する （感情など）を抑える
abolish,～を廃止する
friction,摩擦
coarse,（住地・肌など）がきめの粗い、ざらざらした
cowardly,（行動・人などが）臆病な、卑怯な
petty,さいいな、つまらない
detention,（判決前の）勾留、留置
blunt,（ナイフなどが）切れない、鈍い
vigorous,活力にあふれた
pierce,～を突き通す
revolt,反乱、暴動
twist,（ひも・つまみなど）を回す ～をねじる、曲げる （体の一部）をねんざする
shelter,（名・動）避難所、保護施設 住まい、住居；避難する
collapse,（動・名）崩壊する；崩壊
pursue,～に従事する ～を追う
appliance,電化製品、器具
imitate,～をまねる、模倣する
yield,（動・名）～を産出する、生み出す （利益など）を生む 屈する；収穫量、産出高
limitation,限界 制限
extensive,広範囲の、多方面にわたる （被害・損害などが）広範な、莫大な
radical,急進的な、過激な
dismiss,（人）を解雇する （提案・考えなど）を退ける、否定する
riot,暴動、騒動
exceed,～を超える、～より多い
remodel,～を改築する、リフォームする
fierce,激しい、猛烈な
adolescent,青春期の、思春期の
component,成分、構成要素
suspicious,不審に思う、疑う 怪しい
herd,（動・名）（動物）を集める、移動させる （家畜）の群れ
syndrome,症候群
offensive,（言葉・態度などが）失礼な、侮辱的な 不快な、不愉快な
outdated,時代遅れの
diminish,減少する
functional,機能本位の、役に立つ 機能を果たせる
bureau,（官庁などの）局、事務局
wreck,（乗り物の）残骸 難破、難破船
sanctuary,鳥獣保護区、聖域
impair,（能力など）を弱める、損なう
prompt,（動・名）～を促す、刺激する；即座の、早速の
bait,（釣りなどの）えさ
mutual,相互の
diagram,図、図表
distress,（名・動）苦悩、心痛、悩みの種 遭難、災難；～を悩ませる、苦しめる
expel,～を追放する、追い出す ～を吐き出す
rotten,腐った、腐敗した
subtle,かすかな、微妙な
tentative,（予定などが）仮の、暫定的な
defective,欠陥のある
legible,判読できる、読みやすい
propel,～を推進する、前進させる
pluck,～を摘む、引き抜く、むしる
evade,（義務・責任など）を逃れる （質問・障害など）を避ける
slack,（ロープなどが）緩い、たるんだ （商売などが）不活発な
glossary,（巻末の）語彙、用語辞典
grasp,～をしっかりつかむ、握る ～を理解する
junction,合流点、分岐点
righteous,（人・行為などが）（道徳的に）正しい、正義の
hover,（数値が）ほぼ一定している （鳥・ヘリコプターなどが）ホバリングする
decode,～を解読する
encase,～をケースに収める
victorious,勝利を得た、勝った
beggar,物ごい
drowsy,眠い
strangle,～を窒息させる、絞殺する
esteem,（動・名）～を尊ぶ、優く評価する；尊重
deflate,空気が抜ける、へこむ
dubious,不吉な、怪しげな 疑わしく思う
texture,（織物・生地などの）手触り、きめ
tenant,（家屋・部屋などの）賃借人；（貸し店などの）テナント
declaration,宣言、布告；（正式な）発表 申告のための書面
tease,～をからかう、いじめる
tariff,関税（率）
