word,meaning
highlight,（動）〜を強調する、目立たせる
gender,（名）（社会的・文化的）性別、ジェンダー
enthusiastic,（形）熱中した、熱狂的な
technically,（副）①技術的には ②専門的には、厳密に言えば
recognition,（名）①認知、（事実・価値を）認識すること ②（人・ものを見て）それとわかること、見［聞き］覚え
firsthand,（形）じかの、直接の
overestimate,（動）〜を過大評価する
consistency,（名）（方針・行動などの）一貫性
eligible,（形）資格のある、適格な
intermediate,（形）①（程度が）中級の ②中間の、間にある
deserve,（動）〜に値する
invaluable,（形）非常に貴重な、計り知れない価値のある
latitude,（名）①緯度 ②自由、裁量
tense,（形）①（人が）緊張した ②（状況などが）張り詰めた
outlet,（名）①直販店、販路 ②コンセント
compassion,（名）同情、思いやり
returnee,（名）帰国者、帰国子女、帰還者
offspring,（名）（人・動物の）子、子孫
debris,（名）がれき、残骸
peer,（名）（地位・年齢などが）同等の人、仲間；同級生
script,（名）文字（体系）
convention,（名）①（各種団体による定期的な）大会、集会 ②慣習、しきたり
discipline,（名）①学科、学問分野 ②訓練、しつけ
notable,（形）注目に値する
buildup,（名）（量・レベルなどの）増加、高まり
acceptance,（名）受け入れること、容認
outset,（名）最初、出だし
poll,（名）世論調査、アンケート
longevity,（名）①長寿 ②寿命
mortgage,（名）住宅ローン
acclaim,（名）（人・業績に対する）称賛、歓呼
criterion,（名）標準、基準
comprehensive,（形）包括的な、網羅的な
spell,（名）（天候の）一続きの期間
disband,（動）（組織などが）解散する；（組織など）を解散する
excel,（動）（ほかより）すぐれる
leftover,（名）①（料理の）残り物 ②（過去の）名残、遺物
prerequisite,（名）必要条件、前提条件
humiliate,（動）（人）に恥をかかせる
temper,（名）①冷静、平常心 ②（一時的な）気分、機嫌
soar,（動）①（数値・温度・価格などが）急上昇する ②（空高く）舞い上がる
rigorous,（形）厳しい、厳格な
strenuous,（形）（運動などが）激しい；大変な努力を要する
premise,（名）①前提、根拠 ②（建物の）敷地、構内
outlive,（動）〜より長生きする
expenditure,（名）費用
impersonal,（形）人間味のない、機械的な
speculation,（名）推測、憶測
