word,meaning
vulnerable,（形）（人・感情などが）傷つきやすい、（病気などに）かかりやすい
heed,（動）～に気をつける、～を心に留める
bystander,（名）傍観者、見物人
congestion,（名）（交通・場所などの）混雑
discard,（動）（不用品など）を捨てる、処分する
blaze,（名）炎、火炎
clumsy,（形）不器用な、ぎこちない
eliminate,（動）～を取り除く、（候補などから）～を外す；（対戦相手）を敗退させる
acknowledge,（動）～を認める；（うなずき・ほほえみなどで）気づいたことを示す
edible,（形）食べられる
cultivate,（動）（土地）を耕す；～を栽培する、育てる；（技能・品性など）を養う、高める
overdue,（形）（支払い・返却の）期限が過ぎて；（予定より）遅れて；もっと早くすべきで
enrollment,（名）登録、入学
enlist,（動）（援助など）を得る、求める；入隊する
anarchy,（名）無政府状態、無秩序
reluctant,（形）気乗りがしない、しぶしぶの
fragile,（形）壊れやすい；（状態が）不安定な
evaluate,（動）～を評価する
resume,（動）～を再開する
weary,（形）ひどく疲れた、飽き飽きして
custody,（名）（未成年者の）保護、親権；（容疑者の）拘置、拘留
coalition,（名）（国・政党などの）連立、連合
tranquil,（形）静かな、穏やかな
enforce,（動）（法など）を守らせる、施行する
disguise,（動）～を変装させる、偽装する
surplus,（名）余剰、余剰分；黒字
petition,（名・動）嘆願書；～に嘆願する
habitual,（形）常習的な、習慣的な
vacant,（形）空いている、使われていない；欠員の
daring,（形）大胆な
thrive,（動）繁栄する、成功する；（動植物が）よく成長する
compartment,（名）仕切られた部分、区画
accelerate,（動）加速する；～を加速させる
descendant,（名）子孫、末裔
decay,（動）腐る、朽ちる；（歯が）虫歯になる
refine,（動）～を洗練［改良］する、（技術など）を磨く
swell,（動）腫れる
segment,（名）部分、区分
bribe,（名・動）賄賂；～を買収する
obsessed,（形）心を奪われた、取りつかれた
uphold,（動）（公約など）を守る；（法・制度・主義など）を守る
overthrow,（動）（政府など）を転覆させる
itinerary,（名）旅程（表）、旅行計画
faint,（形・動）（光・音などが）かすかな；気絶する
explicit,（形）明白な、あからさまな
lenient,（形）（人・判断などが）寛大な、甘い
contemplate,（動）～を熟考する
presume,（動）～と推定する、見なす
bulky,（形）かさばった、大きくて扱いにくい
concede,（動）（試合・選挙などで）の敗北を認める；（譲歩して）～を（正しいと）認める
shrug,（動）（肩）をすくめる
reconstruct,（動）（状況・事件など）を再現する；～を再建する
barricade,（名・動）バリケード、障害物；～をバリケードで囲む
extravagant,（形）浪費する、（習慣などが）ぜいたくな
reconcile,（動）～を調和させる、調整する
exempt,（形・動）免除された；～を免除する
stroll,（名・動）散策、そぞろ歩き；散策する、そぞろ歩く
notorious,（形）悪名高い、よく知られた
enhance,（動）（価値・質・力など）を高める、向上させる
signify,（動）～を示す、知らせる
hectic,（形）慌ただしい、非常に忙しい
vivid,（形）生き生きとした、鮮明な
intact,（形）損なわれていない、無傷で
conform,（動）（規則などに）従う
sway,（動）揺れる、揺れ動く；（意見などが）ぐらつく
hasty,（形）急ぎの、慌ただしい；軽率な
rotate,（動）（～を）交替する、循環する
decisive,（形）決定的な、断固とした
trivial,（形）ささいな、つまらない
detain,（動）～を引き留める；（容疑者）を拘留する
vicious,（形）どう猛な、凶暴な
revolve,（動）回転する
summon,（動）～を呼び出す、召喚する
corrupt,（形）堕落した、腐敗した
spontaneous,（形）（行為などが）自発的な、自然に生まれる
stale,（形）（食べ物が）新鮮でない、（パンなどが）パサパサになった；陳腐な
proclaim,（動）～を宣言する、公示する
cherish,（動）～を大事にする
fictitious,（形）虚構の、架空の
rash,（形）（言動などが）性急な、軽率な
serene,（形）静かな、穏やかな
ransom,（名・動）身代金；～を身代金を払って解放してもらう
witty,（形）機知のある、気の利いた
thaw,（動）（氷・雪などが）解ける
adequate,（形）十分な、満足な
minor,（名・形）未成年者；あまり重要でない、深刻でない
obstacle,（名）障害（物）、支障
mandatory,（形）義務的な、強制的な
nutritious,（形）（食品が）栄養のある
impractical,（形）現実的でない、実用的でない
optimistic,（形）楽観的な、楽天主義の
perspective,（名）観点、見方
tackle,（動）（問題など）に取り組む
merit,（名）実績、功績；長所
halt,（動）止まる、停止する；～を停止する
designate,（動）～を指定する、指名する
bankrupt,（形）破産した、倒産した
abundant,（形）豊富な、たくさんの
exceptional,（形）特にすぐれた；例外的な、特別な
integrate,（動）～を統合する、まとめる
assess,（動）～を査定する、評価する
raid,（動）（人・場所）を急襲する
betray,（動）～を裏切る；（秘密など）を漏らす
altitude,（名）高さ、海抜
offset,（動・名）～を相殺する；相殺するもの、埋め合わせ
discontent,（名）不満、不平
inefficient,（形）効率の悪い、非効率的な；役に立たない
unanimously,（副）満場一致で
prestigious,（形）有名な、名誉ある
complication,（名）状況を複雑にする問題、厄介な問題；合併症
milestone,（名）画期的な事件、出来事
portray,（動）～を描写する、言葉で書く；（舞台などで）～の役を演じる
fatality,（名）死亡者（数）
tempting,（形）魅力的な、心をそそる
inmate,（名）（刑務所の）囚人；（精神病棟の）収容者
detour,（名）回り道、迂回路
dedicated,（形）献身的な、打ち込んでいる
relic,（名）（過去の）遺物、遺跡
compulsory,（形）（法律・制度により）義務的な；（科目が）必修の
dehydration,（名）脱水（症状）
liberate,（動）～を自由にする、解放する
perilous,（形）危険な
biographical,（形）伝記の
filthy,（形）汚い、不潔な
accord,（名）一致、合意；（他国との）協定
binding,（形）拘束力のある
comply,（動）（要求・希望などに）従う、応じる
stunned,（形）あぜんとした
invalid,（形）無効の、効力のない
intruder,（名）侵入者、乱入者
unveil,（動）（計画・製品など）を初公開する、発表する
tedious,（形）つまらない、退屈な
clarify,（動）（意味など）を明らかにする
commend,（動）～を称賛する、表彰する
intrigued,（形）興味をそそられた
wither,（動）しぼむ、枯れる
escort,（動）（人）を連行する、護送する；（人）を護衛する、送り届ける
scarcity,（名）（食料・資源などの）不足、欠乏
precision,（名）正確さ、精度
gulp,（動）～をがつがつ食べる、がぶがぶ飲む
interrogate,（動）～に質問する、尋問する
composed,（形）落ち着いた、平静な
vocation,（名）適職、天職
correlation,（名）相関関係
obsolete,（形）時代遅れの、廃れた
skeptical,（形）懐疑的な
unwittingly,（副）故意でなく、うっかり
abridged,（形）短縮された、簡約版の
irresistible,（形）抵抗できない、非常に魅力的な
correspondence,（名）文通、通信
destined,（形）運命づけられた；～行きの
perish,（動）（人・動物が）死ぬ；滅びる、消滅する
expire,（動）有効期限が切れる
spacious,（形）広々とした
transmit,（動）（病気）を伝染させる；～を送る、伝送する
encounter,（動）～に遭遇する
conventional,（形）従来の
lease,（名・動）賃貸借契約；～を賃貸しする
division,（名）（社会・経済的な）分断、分裂；（組織などの）部門
strain,（名・動）負担、重圧；～を引っ張る
administer,（動）～を行う、施行する；～を管理する
notify,（動）～に通知する、知らせる
transplant,（動・名）～を移植する；移植
certify,（動）～を証明する、保証する
assumption,（名）仮定、推定
provoke,（動）～を引き起こす、誘発する；～を挑発する
literacy,（名）読み書きの能力
retreat,（動）撤退する、退却する
novelty,（名）目新しいもの、目新しさ
exclusive,（形）排他的な；上流階級専用の；独占的な
mimic,（動）～をまねる
resent,（動）～に憤慨する
prejudice,（名）偏見、先入観
seize,（動）～をつかむ、捕らえる
divine,（形・動）神の；～を予知する
incorporate,（動）～を組み込む；～を法人化する
surpass,（動）～に勝る、～を超える
impulse,（名）（突然の）欲求、衝動；衝撃電流、インパルス
biased,（形）偏見を抱いた、偏った
barren,（形）（土地が）不毛の
inflict,（動）（打撃・損害など）を与える
blockade,（名）封鎖
clutch,（動）～をしっかり握る、つかむ
refuge,（名）避難所、保護区；避難
demote,（動）～を降格する
fragrant,（形）香りのよい
mingle,（動）交際する、（輪に加わって）話をする；～を混ぜる
temperament,（名）気質、気性
stubborn,（形）頑固な
unfold,（動）（話などが）展開する
formulate,（動）（案・計画など）を策定する
contemporary,（形）現代の、現代的な；同時代の
redundant,（形）冗長な、不要な；余った、余剰の
obstruct,（動）（進行・視界など）を妨げる
guardian,（名）保護者
token,（名）印、証拠
omit,（動）（人・もの・情報など）を抜かす、省略する
conclusive,（形）決定的な、確実な
obedient,（形）従順な、素直な
sacred,（形）神聖な
testify,（動）（～を）証言する
affluent,（形）裕福な、（経済的に）豊かな
transparent,（形）（組織・活動などが）透明性の高い；透明な、透き通った
ration,（名・動）食料；～を（一定量に）制限する
